Attention,Meditation,Eye Blink,Average,Emotion,Intensity
57,12,19,29.33333333,Concentrated,Low
49,35,15,33.0,Concentrated,Medium
26,28,1,18.33333333,Relaxed,Low
10,41,12,21.0,Relaxed,Low
27,9,20,18.66666667,Relaxed,Low
41,87,6,44.66666667,Happy,Medium
17,15,6,12.66666667,Sad,Low
100,99,13,70.66666667,Drunker,High
26,28,15,23.0,Relaxed,Low
30,3,15,16.0,Relaxed,Low
81,26,20,42.33333333,Drunker,Medium
20,1,1,7.333333333,Sad,Low
46,92,16,51.33333333,Happy,Medium
16,33,16,21.66666667,Relaxed,Low
39,53,15,35.66666667,Concentrated,Medium
92,15,19,42.0,Concentrated,Medium
31,49,17,32.33333333,Concentrated,Medium
51,76,8,45.0,Happy,Medium
32,45,5,27.33333333,Relaxed,Low
68,75,14,52.33333333,Happy,Medium
21,46,21,29.33333333,Concentrated,Low
59,87,18,54.66666667,Happy,Medium
43,76,3,40.66666667,Concentrated,Medium
29,52,5,28.66666667,Drunker,Low
97,81,20,66.0,Fear,High
25,66,21,37.33333333,Concentrated,Medium
90,49,15,51.33333333,Happy,Medium
61,28,9,32.66666667,Concentrated,Medium
94,64,12,56.66666667,Drunker,Medium
55,6,2,21.0,Relaxed,Low
77,91,8,58.66666667,Fear,Medium
51,62,16,43.0,Happy,Medium
54,46,14,38.0,Concentrated,Medium
2,86,8,32.0,Concentrated,Medium
23,8,5,12.0,Sad,Low
54,59,3,38.66666667,Concentrated,Medium
35,18,13,22.0,Relaxed,Low
61,22,20,34.33333333,Concentrated,Medium
45,64,9,39.33333333,Concentrated,Medium
47,1,6,18.0,Relaxed,Low
83,79,1,54.33333333,Happy,Medium
28,60,14,34.0,Concentrated,Medium
88,82,16,62.0,Fear,High
10,25,11,15.33333333,Relaxed,Low
43,49,21,37.66666667,Concentrated,Medium
70,10,15,31.66666667,Concentrated,Medium
35,50,8,31.0,Concentrated,Medium
20,1,10,10.33333333,Sad,Low
1,50,19,23.33333333,Relaxed,Low
29,33,9,23.66666667,Relaxed,Low
98,13,20,43.66666667,Happy,Medium
24,52,8,28.0,Relaxed,Low
54,6,4,21.33333333,Relaxed,Low
2,50,19,23.66666667,Relaxed,Low
56,78,15,49.66666667,Happy,Medium
73,26,2,33.66666667,Concentrated,Medium
83,86,13,60.66666667,Fear,High
56,17,2,25.0,Relaxed,Low
95,92,16,67.66666667,Fear,High
7,73,7,29.0,Concentrated,Low
10,62,15,29.0,Concentrated,Low
13,96,7,38.66666667,Concentrated,Medium
56,9,10,25.0,Relaxed,Low
89,37,19,48.33333333,Happy,Medium
53,20,15,29.33333333,Concentrated,Low
52,83,12,49.0,Happy,Medium
87,60,1,49.33333333,Happy,Medium
94,74,11,59.66666667,Fear,Medium
19,14,8,13.66666667,Sad,Low
93,57,13,54.33333333,Happy,Medium
22,22,11,18.33333333,Relaxed,Low
33,88,7,42.66666667,Drunker,Medium
55,4,15,24.66666667,Relaxed,Low
61,93,16,56.66666667,Drunker,Medium
53,15,2,23.33333333,Relaxed,Low
41,85,11,45.66666667,Happy,Medium
51,24,7,27.33333333,Relaxed,Low
56,90,10,52.0,Happy,Medium
64,64,2,43.33333333,Happy,Medium
19,94,7,40.0,Concentrated,Medium
20,48,7,25.0,Relaxed,Low
48,45,11,34.66666667,Concentrated,Medium
61,2,1,21.33333333,Relaxed,Low
15,62,20,32.33333333,Concentrated,Medium
16,69,16,33.66666667,Concentrated,Medium
7,97,4,36.0,Concentrated,Medium
1,5,4,3.333333333,Drunker,Low
29,67,7,34.33333333,Concentrated,Medium
63,12,7,27.33333333,Relaxed,Low
57,73,15,48.33333333,Happy,Medium
89,31,13,44.33333333,Happy,Medium
45,75,8,42.66666667,Drunker,Medium
24,81,1,35.33333333,Concentrated,Medium
82,88,21,63.66666667,Fear,High
92,36,18,48.66666667,Happy,Medium
5,47,21,24.33333333,Relaxed,Low
89,96,3,62.66666667,Fear,High
52,4,17,24.33333333,Relaxed,Low
34,18,16,22.66666667,Relaxed,Low
49,36,2,29.0,Concentrated,Low
85,87,20,64.0,Fear,High
70,86,8,54.66666667,Happy,Medium
8,98,15,40.33333333,Concentrated,Medium
95,43,10,49.33333333,Happy,Medium
56,44,1,33.66666667,Concentrated,Medium
32,49,17,32.66666667,Concentrated,Medium
38,26,10,24.66666667,Relaxed,Low
39,33,16,29.33333333,Concentrated,Low
77,23,3,34.33333333,Concentrated,Medium
33,30,7,23.33333333,Relaxed,Low
25,81,4,36.66666667,Concentrated,Medium
40,25,20,28.33333333,Drunker,Low
26,51,20,32.33333333,Concentrated,Medium
94,55,1,50.0,Happy,Medium
33,96,10,46.33333333,Happy,Medium
74,23,15,37.33333333,Concentrated,Medium
8,75,14,32.33333333,Concentrated,Medium
60,35,3,32.66666667,Concentrated,Medium
95,50,15,53.33333333,Happy,Medium
87,13,15,38.33333333,Concentrated,Medium
87,49,3,46.33333333,Happy,Medium
40,32,17,29.66666667,Concentrated,Low
5,13,15,11.0,Sad,Low
89,33,19,47.0,Happy,Medium
12,76,9,32.33333333,Concentrated,Medium
90,86,6,60.66666667,Fear,High
95,9,19,41.0,Concentrated,Medium
20,66,8,31.33333333,Concentrated,Medium
99,13,2,38.0,Concentrated,Medium
79,46,11,45.33333333,Happy,Medium
33,61,21,38.33333333,Concentrated,Medium
6,62,16,28.0,Relaxed,Low
95,24,20,46.33333333,Happy,Medium
41,81,15,45.66666667,Happy,Medium
92,38,21,50.33333333,Happy,Medium
75,98,10,61.0,Fear,High
38,80,17,45.0,Happy,Medium
57,9,1,22.33333333,Relaxed,Low
32,94,15,47.0,Happy,Medium
16,89,12,39.0,Concentrated,Medium
20,56,12,29.33333333,Concentrated,Low
4,90,8,34.0,Concentrated,Medium
36,47,6,29.66666667,Concentrated,Low
57,5,10,24.0,Relaxed,Low
13,96,6,38.33333333,Concentrated,Medium
80,71,10,53.66666667,Happy,Medium
35,60,10,35.0,Concentrated,Medium
34,89,18,47.0,Happy,Medium
47,61,20,42.66666667,Drunker,Medium
83,46,10,46.33333333,Happy,Medium
92,33,16,47.0,Happy,Medium
31,44,21,32.0,Concentrated,Medium
17,3,21,13.66666667,Sad,Low
29,23,7,19.66666667,Relaxed,Low
15,93,18,42.0,Concentrated,Medium
72,16,10,32.66666667,Concentrated,Medium
2,9,10,7.0,Sad,Low
30,51,10,30.33333333,Concentrated,Medium
58,96,6,53.33333333,Happy,Medium
91,16,14,40.33333333,Concentrated,Medium
64,11,17,30.66666667,Concentrated,Medium
54,75,13,47.33333333,Happy,Medium
98,8,3,36.33333333,Concentrated,Medium
48,9,9,22.0,Relaxed,Low
4,13,7,8.0,Sad,Low
17,18,13,16.0,Relaxed,Low
49,78,12,46.33333333,Happy,Medium
26,44,8,26.0,Relaxed,Low
9,2,9,6.666666667,Sad,Low
35,71,13,39.66666667,Concentrated,Medium
25,28,6,19.66666667,Relaxed,Low
85,30,1,38.66666667,Concentrated,Medium
12,79,9,33.33333333,Concentrated,Medium
50,64,4,39.33333333,Concentrated,Medium
16,54,21,30.33333333,Concentrated,Medium
39,28,11,26.0,Relaxed,Low
67,27,13,35.66666667,Concentrated,Medium
68,91,5,54.66666667,Happy,Medium
100,84,13,65.66666667,Fear,High
14,96,15,41.66666667,Concentrated,Medium
68,67,4,46.33333333,Happy,Medium
66,9,10,28.33333333,Drunker,Low
88,86,4,59.33333333,Fear,Medium
62,95,4,53.66666667,Happy,Medium
21,37,16,24.66666667,Relaxed,Low
36,66,11,37.66666667,Concentrated,Medium
41,76,21,46.0,Happy,Medium
4,96,3,34.33333333,Concentrated,Medium
12,40,21,24.33333333,Relaxed,Low
20,47,1,22.66666667,Relaxed,Low
88,87,1,58.66666667,Fear,Medium
12,10,9,10.33333333,Sad,Low
75,87,5,55.66666667,Happy,Medium
55,9,11,25.0,Relaxed,Low
12,70,1,27.66666667,Relaxed,Low
41,18,3,20.66666667,Relaxed,Low
29,50,3,27.33333333,Relaxed,Low
50,82,18,50.0,Happy,Medium
23,34,7,21.33333333,Relaxed,Low
84,6,7,32.33333333,Concentrated,Medium
92,38,3,44.33333333,Happy,Medium
47,8,11,22.0,Relaxed,Low
26,54,17,32.33333333,Concentrated,Medium
50,70,4,41.33333333,Concentrated,Medium
100,2,8,36.66666667,Concentrated,Medium
60,15,21,32.0,Concentrated,Medium
55,74,20,49.66666667,Happy,Medium
58,93,3,51.33333333,Happy,Medium
95,68,17,60.0,Fear,High
81,56,3,46.66666667,Happy,Medium
100,30,13,47.66666667,Happy,Medium
38,66,14,39.33333333,Concentrated,Medium
56,32,10,32.66666667,Concentrated,Medium
28,12,5,15.0,Relaxed,Low
27,9,8,14.66666667,Drunker,Low
20,96,20,45.33333333,Happy,Medium
39,21,18,26.0,Relaxed,Low
90,28,17,45.0,Happy,Medium
50,22,4,25.33333333,Relaxed,Low
68,97,11,58.66666667,Fear,Medium
46,81,19,48.66666667,Happy,Medium
72,36,2,36.66666667,Concentrated,Medium
17,4,15,12.0,Sad,Low
70,46,19,45.0,Happy,Medium
91,52,18,53.66666667,Happy,Medium
98,54,3,51.66666667,Happy,Medium
98,99,9,68.66666667,Fear,High
71,6,3,26.66666667,Relaxed,Low
97,10,8,38.33333333,Concentrated,Medium
63,49,17,43.0,Happy,Medium
70,91,20,60.33333333,Fear,High
72,54,14,46.66666667,Happy,Medium
81,16,11,36.0,Concentrated,Medium
89,68,1,52.66666667,Happy,Medium
62,30,16,36.0,Concentrated,Medium
55,96,5,52.0,Happy,Medium
28,50,1,26.33333333,Relaxed,Low
88,63,17,56.0,Happy,Medium
55,8,19,27.33333333,Relaxed,Low
23,82,13,39.33333333,Concentrated,Medium
96,92,14,67.33333333,Fear,High
53,31,9,31.0,Concentrated,Medium
63,63,20,48.66666667,Happy,Medium
35,63,6,34.66666667,Concentrated,Medium
64,32,18,38.0,Concentrated,Medium
89,82,18,63.0,Fear,High
18,64,9,30.33333333,Concentrated,Medium
46,88,6,46.66666667,Happy,Medium
41,44,3,29.33333333,Concentrated,Low
93,48,16,52.33333333,Happy,Medium
50,60,7,39.0,Concentrated,Medium
100,17,17,44.66666667,Happy,Medium
97,37,21,51.66666667,Happy,Medium
59,24,6,29.66666667,Concentrated,Low
58,91,19,56.0,Happy,Medium
34,45,11,30.0,Concentrated,Medium
57,36,17,36.66666667,Concentrated,Medium
49,57,17,41.0,Concentrated,Medium
8,67,3,26.0,Relaxed,Low
59,24,3,28.66666667,Drunker,Low
55,29,13,32.33333333,Concentrated,Medium
55,42,8,35.0,Concentrated,Medium
37,84,2,41.0,Concentrated,Medium
2,73,7,27.33333333,Relaxed,Low
80,19,9,36.0,Concentrated,Medium
50,38,10,32.66666667,Concentrated,Medium
71,97,3,57.0,Fear,Medium
19,8,15,14.0,Sad,Low
86,34,12,44.0,Happy,Medium
27,88,12,42.33333333,Drunker,Medium
34,61,13,36.0,Concentrated,Medium
85,28,11,41.33333333,Concentrated,Medium
47,8,11,22.0,Relaxed,Low
60,33,1,31.33333333,Concentrated,Medium
97,88,20,68.33333333,Fear,High
65,52,14,43.66666667,Happy,Medium
81,18,3,34.0,Concentrated,Medium
59,100,2,53.66666667,Happy,Medium
30,18,8,18.66666667,Relaxed,Low
22,100,20,47.33333333,Happy,Medium
41,74,6,40.33333333,Concentrated,Medium
88,35,21,48.0,Happy,Medium
42,45,15,34.0,Concentrated,Medium
86,17,4,35.66666667,Concentrated,Medium
62,65,6,44.33333333,Happy,Medium
48,10,19,25.66666667,Relaxed,Low
22,36,10,22.66666667,Relaxed,Low
48,13,8,23.0,Relaxed,Low
96,68,10,58.0,Fear,Medium
49,81,19,49.66666667,Happy,Medium
14,37,9,20.0,Relaxed,Low
59,60,4,41.0,Concentrated,Medium
41,17,21,26.33333333,Relaxed,Low
21,55,15,30.33333333,Concentrated,Medium
43,12,1,18.66666667,Relaxed,Low
50,48,14,37.33333333,Concentrated,Medium
96,45,9,50.0,Happy,Medium
24,41,19,28.0,Relaxed,Low
63,89,10,54.0,Happy,Medium
57,2,2,20.33333333,Relaxed,Low
76,89,3,56.0,Happy,Medium
46,55,20,40.33333333,Concentrated,Medium
53,68,15,45.33333333,Happy,Medium
63,72,21,52.0,Happy,Medium
36,53,6,31.66666667,Concentrated,Medium
40,79,15,44.66666667,Happy,Medium
66,28,21,38.33333333,Concentrated,Medium
82,78,16,58.66666667,Fear,Medium
14,55,16,28.33333333,Drunker,Low
41,37,18,32.0,Concentrated,Medium
39,42,17,32.66666667,Concentrated,Medium
84,57,8,49.66666667,Happy,Medium
12,13,15,13.33333333,Sad,Low
36,14,17,22.33333333,Relaxed,Low
97,27,3,42.33333333,Drunker,Medium
25,70,7,34.0,Concentrated,Medium
67,37,13,39.0,Concentrated,Medium
72,15,7,31.33333333,Concentrated,Medium
90,87,14,63.66666667,Fear,High
11,10,20,13.66666667,Sad,Low
87,45,19,50.33333333,Happy,Medium
47,30,20,32.33333333,Concentrated,Medium
24,74,21,39.66666667,Concentrated,Medium
70,22,15,35.66666667,Concentrated,Medium
30,44,19,31.0,Concentrated,Medium
21,37,11,23.0,Relaxed,Low
74,50,5,43.0,Happy,Medium
90,43,16,49.66666667,Happy,Medium
20,54,11,28.33333333,Drunker,Low
15,15,11,13.66666667,Sad,Low
85,21,15,40.33333333,Concentrated,Medium
10,79,2,30.33333333,Concentrated,Medium
9,91,2,34.0,Concentrated,Medium
11,92,18,40.33333333,Concentrated,Medium
19,2,16,12.33333333,Sad,Low
7,27,19,17.66666667,Relaxed,Low
81,17,9,35.66666667,Concentrated,Medium
1,17,18,12.0,Sad,Low
75,14,13,34.0,Concentrated,Medium
72,100,21,64.33333333,Fear,High
71,62,15,49.33333333,Happy,Medium
25,30,14,23.0,Relaxed,Low
29,16,2,15.66666667,Relaxed,Low
26,37,8,23.66666667,Relaxed,Low
82,7,12,33.66666667,Concentrated,Medium
50,60,7,39.0,Concentrated,Medium
75,45,8,42.66666667,Drunker,Medium
27,15,12,18.0,Relaxed,Low
86,89,11,62.0,Fear,High
75,9,13,32.33333333,Concentrated,Medium
38,44,10,30.66666667,Concentrated,Medium
81,8,3,30.66666667,Concentrated,Medium
93,46,15,51.33333333,Happy,Medium
60,69,4,44.33333333,Happy,Medium
71,43,18,44.0,Happy,Medium
42,91,10,47.66666667,Happy,Medium
34,80,20,44.66666667,Happy,Medium
6,42,1,16.33333333,Relaxed,Low
93,81,20,64.66666667,Fear,High
27,71,20,39.33333333,Concentrated,Medium
27,37,18,27.33333333,Relaxed,Low
92,87,1,60.0,Fear,High
87,58,9,51.33333333,Happy,Medium
10,37,9,18.66666667,Relaxed,Low
81,21,1,34.33333333,Concentrated,Medium
22,93,18,44.33333333,Happy,Medium
85,12,1,32.66666667,Concentrated,Medium
76,53,1,43.33333333,Happy,Medium
41,60,18,39.66666667,Concentrated,Medium
15,99,17,43.66666667,Happy,Medium
49,76,16,47.0,Happy,Medium
62,80,8,50.0,Happy,Medium
40,46,9,31.66666667,Concentrated,Medium
15,2,14,10.33333333,Sad,Low
21,22,18,20.33333333,Relaxed,Low
44,65,7,38.66666667,Concentrated,Medium
67,7,21,31.66666667,Concentrated,Medium
59,96,4,53.0,Happy,Medium
74,47,7,42.66666667,Drunker,Medium
95,52,1,49.33333333,Happy,Medium
10,22,1,11.0,Sad,Low
2,45,16,21.0,Relaxed,Low
73,64,12,49.66666667,Happy,Medium
33,54,7,31.33333333,Concentrated,Medium
7,50,12,23.0,Relaxed,Low
16,24,17,19.0,Relaxed,Low
51,25,12,29.33333333,Concentrated,Low
5,48,19,24.0,Relaxed,Low
33,59,19,37.0,Concentrated,Medium
56,52,21,43.0,Happy,Medium
48,70,15,44.33333333,Happy,Medium
89,15,18,40.66666667,Concentrated,Medium
87,54,6,49.0,Happy,Medium
56,29,8,31.0,Concentrated,Medium
78,42,15,45.0,Happy,Medium
85,20,6,37.0,Concentrated,Medium
19,47,19,28.33333333,Drunker,Low
80,19,8,35.66666667,Concentrated,Medium
20,81,12,37.66666667,Concentrated,Medium
76,46,10,44.0,Happy,Medium
87,92,9,62.66666667,Fear,High
33,29,17,26.33333333,Relaxed,Low
6,88,19,37.66666667,Concentrated,Medium
18,14,16,16.0,Relaxed,Low
23,71,13,35.66666667,Concentrated,Medium
38,12,7,19.0,Relaxed,Low
68,31,19,39.33333333,Concentrated,Medium
44,21,19,28.0,Relaxed,Low
99,41,9,49.66666667,Happy,Medium
38,56,17,37.0,Concentrated,Medium
67,77,16,53.33333333,Happy,Medium
78,74,15,55.66666667,Happy,Medium
37,88,14,46.33333333,Happy,Medium
61,12,21,31.33333333,Concentrated,Medium
89,70,13,57.33333333,Fear,Medium
59,47,13,39.66666667,Concentrated,Medium
43,33,12,29.33333333,Concentrated,Low
34,89,11,44.66666667,Happy,Medium
66,95,2,54.33333333,Happy,Medium
94,96,13,67.66666667,Fear,High
66,41,20,42.33333333,Drunker,Medium
41,37,10,29.33333333,Concentrated,Low
48,26,12,28.66666667,Drunker,Low
68,19,18,35.0,Concentrated,Medium
13,74,13,33.33333333,Concentrated,Medium
46,1,12,19.66666667,Relaxed,Low
6,59,17,27.33333333,Relaxed,Low
57,81,8,48.66666667,Happy,Medium
11,60,1,24.0,Relaxed,Low
57,13,7,25.66666667,Relaxed,Low
6,16,15,12.33333333,Sad,Low
55,66,2,41.0,Concentrated,Medium
44,88,18,50.0,Happy,Medium
24,54,2,26.66666667,Relaxed,Low
22,62,5,29.66666667,Concentrated,Low
1,47,13,20.33333333,Relaxed,Low
37,52,7,32.0,Concentrated,Medium
34,29,17,26.66666667,Relaxed,Low
91,28,17,45.33333333,Happy,Medium
85,22,4,37.0,Concentrated,Medium
91,20,3,38.0,Concentrated,Medium
28,43,9,26.66666667,Relaxed,Low
1,70,19,30.0,Concentrated,Medium
47,17,1,21.66666667,Relaxed,Low
100,90,14,68.0,Fear,High
73,60,10,47.66666667,Happy,Medium
53,82,21,52.0,Happy,Medium
24,25,7,18.66666667,Relaxed,Low
31,67,20,39.33333333,Concentrated,Medium
69,79,9,52.33333333,Happy,Medium
36,19,7,20.66666667,Relaxed,Low
71,71,4,48.66666667,Happy,Medium
17,23,4,14.66666667,Drunker,Low
85,88,21,64.66666667,Fear,High
17,7,7,10.33333333,Sad,Low
11,8,9,9.333333333,Sad,Low
29,62,1,30.66666667,Concentrated,Medium
29,83,21,44.33333333,Happy,Medium
80,21,10,37.0,Concentrated,Medium
96,64,1,53.66666667,Happy,Medium
90,71,9,56.66666667,Drunker,Medium
63,4,3,23.33333333,Relaxed,Low
7,62,9,26.0,Relaxed,Low
71,12,17,33.33333333,Concentrated,Medium
61,81,8,50.0,Happy,Medium
76,69,6,50.33333333,Happy,Medium
43,41,7,30.33333333,Concentrated,Medium
64,73,4,47.0,Happy,Medium
55,34,14,34.33333333,Concentrated,Medium
55,5,12,24.0,Relaxed,Low
32,23,18,24.33333333,Relaxed,Low
100,73,14,62.33333333,Fear,High
19,32,18,23.0,Relaxed,Low
24,38,15,25.66666667,Relaxed,Low
68,55,17,46.66666667,Happy,Medium
29,6,1,12.0,Sad,Low
64,49,10,41.0,Concentrated,Medium
84,93,1,59.33333333,Fear,Medium
51,13,11,25.0,Relaxed,Low
69,74,17,53.33333333,Happy,Medium
84,90,14,62.66666667,Fear,High
67,25,9,33.66666667,Concentrated,Medium
83,35,18,45.33333333,Happy,Medium
87,65,20,57.33333333,Fear,Medium
98,15,19,44.0,Happy,Medium
51,3,20,24.66666667,Relaxed,Low
58,62,12,44.0,Happy,Medium
86,10,20,38.66666667,Concentrated,Medium
2,16,4,7.333333333,Sad,Low
66,49,13,42.66666667,Drunker,Medium
98,68,16,60.66666667,Fear,High
24,65,11,33.33333333,Concentrated,Medium
15,7,21,14.33333333,Drunker,Low
77,62,8,49.0,Happy,Medium
42,1,16,19.66666667,Relaxed,Low
53,13,3,23.0,Relaxed,Low
86,83,8,59.0,Fear,Medium
74,26,2,34.0,Concentrated,Medium
9,93,10,37.33333333,Concentrated,Medium
85,78,14,59.0,Fear,Medium
7,22,5,11.33333333,Sad,Low
26,38,21,28.33333333,Drunker,Low
15,2,21,12.66666667,Sad,Low
7,27,2,12.0,Sad,Low
25,47,1,24.33333333,Relaxed,Low
6,79,5,30.0,Concentrated,Medium
66,32,21,39.66666667,Concentrated,Medium
73,78,18,56.33333333,Drunker,Medium
47,38,7,30.66666667,Concentrated,Medium
42,18,16,25.33333333,Relaxed,Low
20,6,15,13.66666667,Sad,Low
1,88,16,35.0,Concentrated,Medium
58,17,12,29.0,Concentrated,Low
30,17,14,20.33333333,Relaxed,Low
82,13,12,35.66666667,Concentrated,Medium
44,11,5,20.0,Relaxed,Low
18,94,15,42.33333333,Drunker,Medium
68,10,21,33.0,Concentrated,Medium
20,24,17,20.33333333,Relaxed,Low
89,56,16,53.66666667,Happy,Medium
66,57,2,41.66666667,Concentrated,Medium
70,3,13,28.66666667,Drunker,Low
64,53,5,40.66666667,Concentrated,Medium
60,16,14,30.0,Concentrated,Medium
28,97,3,42.66666667,Drunker,Medium
63,84,13,53.33333333,Happy,Medium
30,74,6,36.66666667,Concentrated,Medium
71,47,7,41.66666667,Concentrated,Medium
7,39,9,18.33333333,Relaxed,Low
62,60,11,44.33333333,Happy,Medium
35,56,2,31.0,Concentrated,Medium
46,86,3,45.0,Happy,Medium
85,80,2,55.66666667,Happy,Medium
41,16,18,25.0,Relaxed,Low
69,41,12,40.66666667,Concentrated,Medium
18,55,2,25.0,Relaxed,Low
91,83,15,63.0,Fear,High
50,71,17,46.0,Happy,Medium
45,77,11,44.33333333,Happy,Medium
19,42,14,25.0,Relaxed,Low
71,73,7,50.33333333,Happy,Medium
31,24,21,25.33333333,Relaxed,Low
80,88,21,63.0,Fear,High
96,11,17,41.33333333,Concentrated,Medium
87,94,5,62.0,Fear,High
51,88,2,47.0,Happy,Medium
28,62,13,34.33333333,Concentrated,Medium
78,33,6,39.0,Concentrated,Medium
76,63,10,49.66666667,Happy,Medium
92,88,17,65.66666667,Fear,High
36,10,12,19.33333333,Relaxed,Low
7,72,13,30.66666667,Concentrated,Medium
25,63,10,32.66666667,Concentrated,Medium
60,47,17,41.33333333,Concentrated,Medium
79,72,17,56.0,Happy,Medium
