Attention,Meditation,Eye Blink,Average,Emotion
17,3,21,13.66666667,Sad
29,23,7,19.66666667,Relaxed
15,93,18,42,Concentrated
72,16,10,32.66666667,Concentrated
2,9,10,7,Sad
30,51,10,30.33333333,Concentrated
58,96,6,53.33333333,Happy
91,16,14,40.33333333,Concentrated
64,11,17,30.66666667,Concentrated
54,75,13,47.33333333,Happy
98,8,3,36.33333333,Concentrated
48,9,9,22,Relaxed
4,13,7,8,Sad
17,18,13,16,Relaxed
49,78,12,46.33333333,Happy
26,44,8,26,Relaxed
9,2,9,6.666666667,Sad
35,71,13,39.66666667,Concentrated
25,28,6,19.66666667,Relaxed
85,30,1,38.66666667,Concentrated
12,79,9,33.33333333,Concentrated
50,64,4,39.33333333,Concentrated
16,54,21,30.33333333,Concentrated
39,28,11,26,Relaxed
67,27,13,35.66666667,Concentrated
68,91,5,54.66666667,Happy
100,84,13,65.66666667,Fear
14,96,15,41.66666667,Concentrated
68,67,4,46.33333333,Happy
66,9,10,28.33333333,Drunker
88,86,4,59.33333333,Fear
62,95,4,53.66666667,Happy
21,37,16,24.66666667,Relaxed
36,66,11,37.66666667,Concentrated
41,76,21,46,Happy
4,96,3,34.33333333,Concentrated
12,40,21,24.33333333,Relaxed
20,47,1,22.66666667,Relaxed
88,87,1,58.66666667,Fear
12,10,9,10.33333333,Sad
75,87,5,55.66666667,Happy
55,9,11,25,Relaxed
12,70,1,27.66666667,Relaxed
41,18,3,20.66666667,Relaxed
29,50,3,27.33333333,Relaxed
50,82,18,50,Happy
23,34,7,21.33333333,Relaxed
84,6,7,32.33333333,Concentrated
92,38,3,44.33333333,Happy
47,8,11,22,Relaxed
26,54,17,32.33333333,Concentrated
50,70,4,41.33333333,Concentrated
100,2,8,36.66666667,Concentrated
60,15,21,32,Concentrated
55,74,20,49.66666667,Happy
58,93,3,51.33333333,Happy
95,68,17,60,Fear
81,56,3,46.66666667,Happy
100,30,13,47.66666667,Happy
38,66,14,39.33333333,Concentrated
56,32,10,32.66666667,Concentrated
28,12,5,15,Relaxed
27,9,8,14.66666667,Drunker
20,96,20,45.33333333,Happy
39,21,18,26,Relaxed
90,28,17,45,Happy
50,22,4,25.33333333,Relaxed
68,97,11,58.66666667,Fear
46,81,19,48.66666667,Happy
72,36,2,36.66666667,Concentrated
17,4,15,12,Sad
70,46,19,45,Happy
91,52,18,53.66666667,Happy
98,54,3,51.66666667,Happy
98,99,9,68.66666667,Fear
71,6,3,26.66666667,Relaxed
97,10,8,38.33333333,Concentrated
63,49,17,43,Happy
70,91,20,60.33333333,Fear
72,54,14,46.66666667,Happy
81,16,11,36,Concentrated
89,68,1,52.66666667,Happy
62,30,16,36,Concentrated
55,96,5,52,Happy
28,50,1,26.33333333,Relaxed
88,63,17,56,Happy
55,8,19,27.33333333,Relaxed
23,82,13,39.33333333,Concentrated
96,92,14,67.33333333,Fear
53,31,9,31,Concentrated
63,63,20,48.66666667,Happy
35,63,6,34.66666667,Concentrated
64,32,18,38,Concentrated
89,82,18,63,Fear
18,64,9,30.33333333,Concentrated
46,88,6,46.66666667,Happy
41,44,3,29.33333333,Concentrated
93,48,16,52.33333333,Happy
50,60,7,39,Concentrated
100,17,17,44.66666667,Happy
97,37,21,51.66666667,Happy
59,24,6,29.66666667,Concentrated
58,91,19,56,Happy
34,45,11,30,Concentrated
57,36,17,36.66666667,Concentrated
49,57,17,41,Concentrated
8,67,3,26,Relaxed
59,24,3,28.66666667,Drunker
55,29,13,32.33333333,Concentrated
55,42,8,35,Concentrated
37,84,2,41,Concentrated
2,73,7,27.33333333,Relaxed
80,19,9,36,Concentrated
50,38,10,32.66666667,Concentrated
71,97,3,57,Fear
19,8,15,14,Sad
86,34,12,44,Happy
27,88,12,42.33333333,Drunker
34,61,13,36,Concentrated
85,28,11,41.33333333,Concentrated
47,8,11,22,Relaxed
60,33,1,31.33333333,Concentrated
97,88,20,68.33333333,Fear
65,52,14,43.66666667,Happy
81,18,3,34,Concentrated
59,100,2,53.66666667,Happy
30,18,8,18.66666667,Relaxed
22,100,20,47.33333333,Happy
41,74,6,40.33333333,Concentrated
88,35,21,48,Happy
42,45,15,34,Concentrated
86,17,4,35.66666667,Concentrated
62,65,6,44.33333333,Happy
48,10,19,25.66666667,Relaxed
22,36,10,22.66666667,Relaxed
48,13,8,23,Relaxed
96,68,10,58,Fear
49,81,19,49.66666667,Happy
14,37,9,20,Relaxed
59,60,4,41,Concentrated
41,17,21,26.33333333,Relaxed
21,55,15,30.33333333,Concentrated
43,12,1,18.66666667,Relaxed
50,48,14,37.33333333,Concentrated
96,45,9,50,Happy
24,41,19,28,Relaxed
63,89,10,54,Happy
57,2,2,20.33333333,Relaxed
76,89,3,56,Happy
46,55,20,40.33333333,Concentrated
53,68,15,45.33333333,Happy
63,72,21,52,Happy
36,53,6,31.66666667,Concentrated
40,79,15,44.66666667,Happy
66,28,21,38.33333333,Concentrated
82,78,16,58.66666667,Fear
14,55,16,28.33333333,Drunker
41,37,18,32,Concentrated
39,42,17,32.66666667,Concentrated
84,57,8,49.66666667,Happy
12,13,15,13.33333333,Sad
36,14,17,22.33333333,Relaxed
97,27,3,42.33333333,Drunker
25,70,7,34,Concentrated
67,37,13,39,Concentrated
72,15,7,31.33333333,Concentrated
90,87,14,63.66666667,Fear
11,10,20,13.66666667,Sad
87,45,19,50.33333333,Happy
47,30,20,32.33333333,Concentrated
24,74,21,39.66666667,Concentrated
70,22,15,35.66666667,Concentrated
30,44,19,31,Concentrated
21,37,11,23,Relaxed
74,50,5,43,Happy
90,43,16,49.66666667,Happy
20,54,11,28.33333333,Drunker
15,15,11,13.66666667,Sad
85,21,15,40.33333333,Concentrated
10,79,2,30.33333333,Concentrated
9,91,2,34,Concentrated
11,92,18,40.33333333,Concentrated
19,2,16,12.33333333,Sad
7,27,19,17.66666667,Relaxed
81,17,9,35.66666667,Concentrated
1,17,18,12,Sad
75,14,13,34,Concentrated
72,100,21,64.33333333,Fear
71,62,15,49.33333333,Happy
25,30,14,23,Relaxed
29,16,2,15.66666667,Relaxed
26,37,8,23.66666667,Relaxed
82,7,12,33.66666667,Concentrated
50,60,7,39,Concentrated
75,45,8,42.66666667,Drunker
27,15,12,18,Relaxed
86,89,11,62,Fear
75,9,13,32.33333333,Concentrated
38,44,10,30.66666667,Concentrated
81,8,3,30.66666667,Concentrated
93,46,15,51.33333333,Happy
60,69,4,44.33333333,Happy
71,43,18,44,Happy
42,91,10,47.66666667,Happy
34,80,20,44.66666667,Happy
6,42,1,16.33333333,Relaxed
93,81,20,64.66666667,Fear
27,71,20,39.33333333,Concentrated
27,37,18,27.33333333,Relaxed
92,87,1,60,Fear
87,58,9,51.33333333,Happy
10,37,9,18.66666667,Relaxed
81,21,1,34.33333333,Concentrated
22,93,18,44.33333333,Happy
85,12,1,32.66666667,Concentrated
76,53,1,43.33333333,Happy
41,60,18,39.66666667,Concentrated
15,99,17,43.66666667,Happy
49,76,16,47,Happy
62,80,8,50,Happy
40,46,9,31.66666667,Concentrated
15,2,14,10.33333333,Sad
21,22,18,20.33333333,Relaxed
44,65,7,38.66666667,Concentrated
67,7,21,31.66666667,Concentrated
59,96,4,53,Happy
74,47,7,42.66666667,Drunker
95,52,1,49.33333333,Happy
10,22,1,11,Sad
2,45,16,21,Relaxed
73,64,12,49.66666667,Happy
33,54,7,31.33333333,Concentrated
7,50,12,23,Relaxed
16,24,17,19,Relaxed
51,25,12,29.33333333,Concentrated
5,48,19,24,Relaxed
33,59,19,37,Concentrated
56,52,21,43,Happy
48,70,15,44.33333333,Happy
89,15,18,40.66666667,Concentrated
87,54,6,49,Happy
56,29,8,31,Concentrated
78,42,15,45,Happy
85,20,6,37,Concentrated
19,47,19,28.33333333,Drunker
80,19,8,35.66666667,Concentrated
20,81,12,37.66666667,Concentrated
76,46,10,44,Happy
87,92,9,62.66666667,Fear
33,29,17,26.33333333,Relaxed
6,88,19,37.66666667,Concentrated
18,14,16,16,Relaxed
23,71,13,35.66666667,Concentrated
38,12,7,19,Relaxed
68,31,19,39.33333333,Concentrated
44,21,19,28,Relaxed
99,41,9,49.66666667,Happy
38,56,17,37,Concentrated
67,77,16,53.33333333,Happy
78,74,15,55.66666667,Happy
37,88,14,46.33333333,Happy
61,12,21,31.33333333,Concentrated
89,70,13,57.33333333,Fear
59,47,13,39.66666667,Concentrated
43,33,12,29.33333333,Concentrated
34,89,11,44.66666667,Happy
66,95,2,54.33333333,Happy
94,96,13,67.66666667,Fear
66,41,20,42.33333333,Drunker
41,37,10,29.33333333,Concentrated
48,26,12,28.66666667,Drunker
68,19,18,35,Concentrated
13,74,13,33.33333333,Concentrated
46,1,12,19.66666667,Relaxed
6,59,17,27.33333333,Relaxed
57,81,8,48.66666667,Happy
11,60,1,24,Relaxed
57,13,7,25.66666667,Relaxed
6,16,15,12.33333333,Sad
55,66,2,41,Concentrated
44,88,18,50,Happy
24,54,2,26.66666667,Relaxed
22,62,5,29.66666667,Concentrated
1,47,13,20.33333333,Relaxed
37,52,7,32,Concentrated
34,29,17,26.66666667,Relaxed
91,28,17,45.33333333,Happy
85,22,4,37,Concentrated
91,20,3,38,Concentrated
28,43,9,26.66666667,Relaxed
1,70,19,30,Concentrated
47,17,1,21.66666667,Relaxed
100,90,14,68,Fear
73,60,10,47.66666667,Happy
53,82,21,52,Happy
24,25,7,18.66666667,Relaxed
31,67,20,39.33333333,Concentrated
69,79,9,52.33333333,Happy
36,19,7,20.66666667,Relaxed
71,71,4,48.66666667,Happy
17,23,4,14.66666667,Drunker
85,88,21,64.66666667,Fear
17,7,7,10.33333333,Sad
11,8,9,9.333333333,Sad
29,62,1,30.66666667,Concentrated
29,83,21,44.33333333,Happy
80,21,10,37,Concentrated
96,64,1,53.66666667,Happy
90,71,9,56.66666667,Drunker
63,4,3,23.33333333,Relaxed
7,62,9,26,Relaxed
71,12,17,33.33333333,Concentrated
61,81,8,50,Happy
76,69,6,50.33333333,Happy
43,41,7,30.33333333,Concentrated
64,73,4,47,Happy
55,34,14,34.33333333,Concentrated
55,5,12,24,Relaxed
32,23,18,24.33333333,Relaxed
100,73,14,62.33333333,Fear
19,32,18,23,Relaxed
24,38,15,25.66666667,Relaxed
68,55,17,46.66666667,Happy
29,6,1,12,Sad
64,49,10,41,Concentrated
84,93,1,59.33333333,Fear
51,13,11,25,Relaxed
69,74,17,53.33333333,Happy
84,90,14,62.66666667,Fear
67,25,9,33.66666667,Concentrated
83,35,18,45.33333333,Happy
87,65,20,57.33333333,Fear
98,15,19,44,Happy
51,3,20,24.66666667,Relaxed
58,62,12,44,Happy
86,10,20,38.66666667,Concentrated
2,16,4,7.333333333,Sad
66,49,13,42.66666667,Drunker
98,68,16,60.66666667,Fear
24,65,11,33.33333333,Concentrated
15,7,21,14.33333333,Drunker
77,62,8,49,Happy
42,1,16,19.66666667,Relaxed
53,13,3,23,Relaxed
86,83,8,59,Fear
74,26,2,34,Concentrated
9,93,10,37.33333333,Concentrated
85,78,14,59,Fear
7,22,5,11.33333333,Sad
26,38,21,28.33333333,Drunker
15,2,21,12.66666667,Sad
7,27,2,12,Sad
25,47,1,24.33333333,Relaxed
6,79,5,30,Concentrated
66,32,21,39.66666667,Concentrated
73,78,18,56.33333333,Drunker
47,38,7,30.66666667,Concentrated
42,18,16,25.33333333,Relaxed
20,6,15,13.66666667,Sad
1,88,16,35,Concentrated
58,17,12,29,Concentrated
30,17,14,20.33333333,Relaxed
82,13,12,35.66666667,Concentrated
44,11,5,20,Relaxed
18,94,15,42.33333333,Drunker
68,10,21,33,Concentrated
20,24,17,20.33333333,Relaxed
89,56,16,53.66666667,Happy
66,57,2,41.66666667,Concentrated
70,3,13,28.66666667,Drunker
64,53,5,40.66666667,Concentrated
60,16,14,30,Concentrated
28,97,3,42.66666667,Drunker
63,84,13,53.33333333,Happy
30,74,6,36.66666667,Concentrated
71,47,7,41.66666667,Concentrated
7,39,9,18.33333333,Relaxed
62,60,11,44.33333333,Happy
35,56,2,31,Concentrated
46,86,3,45,Happy
85,80,2,55.66666667,Happy
41,16,18,25,Relaxed
69,41,12,40.66666667,Concentrated
18,55,2,25,Relaxed
91,83,15,63,Fear
50,71,17,46,Happy
45,77,11,44.33333333,Happy
19,42,14,25,Relaxed
71,73,7,50.33333333,Happy
31,24,21,25.33333333,Relaxed
80,88,21,63,Fear
96,11,17,41.33333333,Concentrated
87,94,5,62,Fear
51,88,2,47,Happy
28,62,13,34.33333333,Concentrated
78,33,6,39,Concentrated
76,63,10,49.66666667,Happy
92,88,17,65.66666667,Fear
36,10,12,19.33333333,Relaxed
7,72,13,30.66666667,Concentrated
25,63,10,32.66666667,Concentrated
60,47,17,41.33333333,Concentrated
79,72,17,56,Happy
62,21,4,29,Concentrated
26,29,17,24,Relaxed
16,33,8,19,Relaxed
64,73,19,52,Happy
75,22,12,36.33333333,Concentrated
17,65,20,34,Concentrated
32,34,13,26.33333333,Relaxed
7,98,16,40.33333333,Concentrated
51,4,10,21.66666667,Relaxed
64,51,5,40,Concentrated
82,71,3,52,Happy
91,30,4,41.66666667,Concentrated
51,68,10,43,Happy
67,12,11,30,Concentrated
29,100,20,49.66666667,Happy
39,66,17,40.66666667,Concentrated
46,54,20,40,Concentrated
45,68,11,41.33333333,Concentrated
24,28,5,19,Relaxed
37,40,20,32.33333333,Concentrated
49,11,19,26.33333333,Relaxed
34,38,4,25.33333333,Relaxed
21,37,3,20.33333333,Relaxed
24,11,14,16.33333333,Relaxed
78,81,2,53.66666667,Happy
32,20,18,23.33333333,Relaxed
53,44,5,34,Concentrated
81,7,9,32.33333333,Concentrated
71,16,15,34,Concentrated
5,1,3,3,Drunker
67,31,5,34.33333333,Concentrated
41,93,16,50,Happy
69,81,1,50.33333333,Happy
24,75,2,33.66666667,Concentrated
97,46,3,48.66666667,Happy
35,70,9,38,Concentrated
21,16,21,19.33333333,Relaxed
69,90,19,59.33333333,Fear
29,39,7,25,Relaxed
82,65,13,53.33333333,Happy
17,29,8,18,Relaxed
66,99,6,57,Fear
100,18,15,44.33333333,Happy
99,68,2,56.33333333,Drunker
33,29,15,25.66666667,Relaxed
78,38,3,39.66666667,Concentrated
56,51,18,41.66666667,Concentrated
88,91,3,60.66666667,Fear
4,98,1,34.33333333,Concentrated
17,89,15,40.33333333,Concentrated
60,93,2,51.66666667,Happy
28,57,16,33.66666667,Concentrated
4,88,6,32.66666667,Concentrated
64,60,16,46.66666667,Happy
97,96,6,66.33333333,Fear
16,60,16,30.66666667,Concentrated
11,7,21,13,Sad
55,64,15,44.66666667,Happy
52,28,13,31,Concentrated
31,25,5,20.33333333,Relaxed
27,14,21,20.66666667,Relaxed
1,31,4,12,Sad
81,42,19,47.33333333,Happy
100,24,2,42,Concentrated
87,83,3,57.66666667,Fear
65,55,20,46.66666667,Happy
27,79,20,42,Concentrated
66,68,2,45.33333333,Happy
53,1,5,19.66666667,Relaxed
4,33,4,13.66666667,Sad
90,21,21,44,Happy
9,31,18,19.33333333,Relaxed
24,7,1,10.66666667,Sad
18,18,6,14,Sad
87,41,21,49.66666667,Happy
77,54,13,48,Happy
18,79,4,33.66666667,Concentrated
78,27,4,36.33333333,Concentrated
41,43,4,29.33333333,Concentrated
53,5,19,25.66666667,Relaxed
28,6,13,15.66666667,Relaxed
90,84,21,65,Fear
61,87,7,51.66666667,Happy
3,6,21,10,Sad
14,53,16,27.66666667,Relaxed
9,24,2,11.66666667,Sad
22,70,15,35.66666667,Concentrated
12,45,13,23.33333333,Relaxed
12,12,14,12.66666667,Sad
63,12,9,28,Relaxed
33,26,17,25.33333333,Relaxed
49,10,20,26.33333333,Relaxed
29,5,2,12,Sad
47,8,5,20,Relaxed
1,88,6,31.66666667,Concentrated
61,43,9,37.66666667,Concentrated
84,39,7,43.33333333,Happy
33,50,6,29.66666667,Concentrated
86,13,19,39.33333333,Concentrated
63,89,3,51.66666667,Happy
13,33,17,21,Relaxed
77,4,21,34,Concentrated
64,84,5,51,Happy
28,22,16,22,Relaxed
52,66,10,42.66666667,Drunker
32,72,8,37.33333333,Concentrated
30,81,17,42.66666667,Drunker
38,10,14,20.66666667,Relaxed
79,81,9,56.33333333,Drunker
17,71,20,36,Concentrated
9,84,10,34.33333333,Concentrated
94,8,18,40,Concentrated
99,44,18,53.66666667,Happy
73,66,21,53.33333333,Happy
3,87,3,31,Concentrated
50,43,7,33.33333333,Concentrated
2,10,13,8.333333333,Sad
100,40,2,47.33333333,Happy
81,62,7,50,Happy
66,18,9,31,Concentrated
20,80,11,37,Concentrated
68,26,7,33.66666667,Concentrated
30,94,13,45.66666667,Happy
23,68,7,32.66666667,Concentrated
22,74,2,32.66666667,Concentrated
2,95,9,35.33333333,Concentrated
67,54,13,44.66666667,Happy
68,72,14,51.33333333,Happy
54,2,10,22,Relaxed
56,4,12,24,Relaxed
22,35,7,21.33333333,Relaxed
4,96,15,38.33333333,Concentrated
39,100,16,51.66666667,Happy
54,55,17,42,Concentrated
80,64,19,54.33333333,Happy
85,87,16,62.66666667,Fear
76,51,1,42.66666667,Drunker
59,86,10,51.66666667,Happy
77,81,19,59,Fear
20,41,20,27,Relaxed
94,96,5,65,Fear
25,1,10,12,Sad
27,2,7,12,Sad
81,90,6,59,Fear
19,88,12,39.66666667,Concentrated
22,81,6,36.33333333,Concentrated
81,67,8,52,Happy
43,68,2,37.66666667,Concentrated
32,23,1,18.66666667,Relaxed
91,68,11,56.66666667,Drunker
24,31,8,21,Relaxed
64,64,5,44.33333333,Happy
66,11,21,32.66666667,Concentrated
66,62,21,49.66666667,Happy
61,93,19,57.66666667,Fear
64,17,6,29,Concentrated
15,24,18,19,Relaxed
1,99,16,38.66666667,Concentrated
68,18,6,30.66666667,Concentrated
40,18,21,26.33333333,Relaxed
29,97,18,48,Happy
75,94,14,61,Fear
19,49,1,23,Relaxed
53,44,13,36.66666667,Concentrated
92,51,13,52,Happy
95,99,13,69,Fear
24,38,10,24,Relaxed
89,39,20,49.33333333,Happy
56,59,16,43.66666667,Happy
81,9,6,32,Concentrated
78,38,20,45.33333333,Happy
24,53,8,28.33333333,Drunker
26,51,3,26.66666667,Relaxed
20,82,17,39.66666667,Concentrated
93,45,8,48.66666667,Happy
38,45,2,28.33333333,Drunker
27,45,20,30.66666667,Concentrated
22,64,16,34,Concentrated
96,62,2,53.33333333,Happy
76,2,12,30,Concentrated
65,61,14,46.66666667,Happy
28,8,11,15.66666667,Relaxed
64,20,13,32.33333333,Concentrated
45,91,16,50.66666667,Happy
